Year,SP_500I_Value,Prct_Chnge_SP500I,Real_GDP_Per_Capita_th,Real_GDP,Real_GDP_Change,Prct_Chnge_GDP,Tax_Rev_b,Tax_Rev_Diff,Prct_Chnge_Tax_Rev,Money_In_Circ_b,Money_Printed_billions,Prct_Chnge_Printed,CPI,EFFR,Mortgage_Rate,US_house_units,MSPUS_th,Purch_Power
2021,4475.4975,26.93767013252284,58478.0000,19427.286999999997,1042.599749999994,5.671022497268718,NULL,NULL,NULL,2168.081083333333,220.6709999999996,11.33151162606094,267.20300000000003,0.07999999999999999,2.957692307692308,141.95,392925.0000,12.324400690272466
2020,3525.7441666666673,8.16697967963771,55415.5000,18384.687250000003,-647.9842499999977,-3.4045890509905474,5335983.0000,-475.0000,-0.00890104,1947.4100833333334,202.3109166666668,11.593089981992444,258.8111666666667,0.37583333333333324,3.111698113207547,140.8,336950.0000,13.290018824574743
2019,3259.5383333333325,5.34916667564449,57584.7500,19032.6715,425.8849999999984,2.288869171471375,5336458.0000,226494.0000,4.43239913,1745.0991666666666,83.63516666666669,5.033823583698882,255.65741666666668,2.158333333333333,3.935769230769231,139.64,320250.0000,14.650022276671
2018,3094.0333333333333,8.462736638906643,56590.2500,18606.786500000002,527.702500000003,2.9188563978130855,5109964.0000,-107669.0000,-2.06356024,1661.464,106.02133333333313,6.816151800730674,251.10683333333338,1.8316666666666663,4.544615384615385,138.45,325275.0000,15.113588578105416
2017,2852.6233333333334,14.612820947224137,55310.7500,18079.084,398.81024999999863,2.2556791576827218,5217633.0000,379951.0000,7.85398875,1555.4426666666668,97.91766666666695,6.718078020388463,245.11958333333334,1.0016666666666667,3.9898076923076924,136.57,322425.0000,15.75883114088851
2016,2488.9216666666666,1.31959114012552,54466.0000,17680.27375,289.9785000000011,1.667473127001684,4837682.0000,64002.0000,1.34072665,1457.5249999999999,86.0012499999998,6.270489300677418,240.00716666666662,0.395,3.6540384615384616,135.58,305125.0000,16.46676157641664
2015,2456.5058333333336,5.4217431918415215,53988.2500,17390.29525,458.2435000000005,2.706367230421436,4773680.0000,231096.0000,5.08732475,1371.52375,92.39633333333336,7.223387766491074,237.01700000000002,0.1325,3.8505769230769222,134.7,294150.0000,17.281290243789073
2014,2330.17,15.810404532346055,52977.5000,16932.05175,378.70424999999886,2.2877804625318188,4542584.0000,250832.0000,5.84451292,1279.1274166666667,85.92566666666676,7.201268910866654,236.73616666666666,0.08916666666666666,4.168867924528302,133.27,285775.0000,18.507629778086347
2013,2012.0558333333336,17.437678627363628,52202.0000,16553.3475,299.3774999999987,1.8418730931581528,4291752.0000,404519.0000,10.40634817,1193.20175,80.4022500000001,7.2252234117646585,232.95708333333332,0.10750000000000003,3.9755769230769222,132.8,266225.0000,19.523696083527646
2012,1713.2966666666669,6.035925080096005,51644.7500,16253.970000000001,362.4360000000015,2.2806860558584274,3887233.0000,180543.0000,4.87073373,1112.7994999999999,89.35233333333338,8.730527206826988,229.5939166666667,0.13999999999999999,3.657500000000001,132.78,244400.0000,20.63210099093922
2011,1615.7699999999998,9.84477797625014,50886.0000,15891.534,242.54299999999967,1.5498954533234688,3706690.0000,189546.0000,5.38920215,1023.4471666666665,77.80524999999989,8.227770853713734,224.93916666666667,0.10166666666666668,4.4478846153846145,132.29,224900.0000,21.97858120994033
2010,1470.9575000000002,17.362069653329094,50506.2500,15648.991,412.7287500000002,2.708858270013037,3517144.0000,200126.0000,6.03331064,945.6419166666666,38.2443333333332,4.214727263526785,218.05550000000002,0.17499999999999996,4.689807692307693,130.6,222700.0000,23.058992643709484
2009,1253.35,-21.72058367354589,49590.2500,15236.26225,-406.69974999999977,-2.5998896500547652,3317018.0000,-470397.0000,-12.42000150,907.3975833333334,75.03325000000007,9.01447202807426,214.537,0.16,5.03653846153846,NULL,215650.0000,23.643109034068218
2008,1601.1233333333337,-20.83806632659155,51366.7500,15642.962,19.090500000000247,0.12218802490790992,3787415.0000,-81197.0000,-2.09886647,832.3643333333333,20.632916666666688,2.5418403480543805,215.3025,1.9274999999999995,6.027169811320754,NULL,229550.0000,25.86637742366824
2007,2022.5925,9.014263282333568,51786.2500,15623.8715,307.928249999999,2.0105079065241283,3868612.0000,169452.0000,4.58082375,811.7314166666666,17.70983333333345,2.2303969696877646,207.3424166666667,5.019166666666666,6.33730769230769,NULL,244950.0000,25.543229251629523
2006,1855.346666666667,5.736938039093542,51255.0000,15315.94325,414.67425000000003,2.7828116518129997,3699160.0000,296294.0000,8.70718976,794.0215833333332,32.15383333333318,4.220395643907127,201.5916666666667,4.964166666666667,6.413269230769231,NULL,243750.0000,25.388688531661458
2005,1754.6816666666666,3.0161920343175552,50342.7500,14901.269,501.5730000000003,3.4832193679644297,3402866.0000,377609.0000,12.48188170,761.86775,32.51708333333329,4.458360678813844,195.2916666666667,3.2133333333333334,5.866730769230769,123.93,236550.0000,25.633276466508352
2004,1703.3066666666666,14.127458469015352,49101.0000,14399.696,534.1767500000005,3.852554962916366,3025257.0000,220249.0000,7.85199187,729.3506666666667,35.847333333333495,5.16902105733692,188.88333333333335,1.3491666666666664,5.83923076923077,NULL,218150.0000,25.897464959699313
2003,1492.46,-4.353909632049091,47707.7500,13865.51925,377.1622499999994,2.796206016789138,2805008.0000,71577.0000,2.61857717,693.5033333333332,39.54341666666653,6.046764588910181,183.95833333333334,1.1275,5.826981132075471,NULL,192125.0000,26.52594796468174
2002,1560.3983333333335,-17.89206615368153,46842.0000,13488.357,224.9400000000005,1.6959430590171465,2733431.0000,-151299.0000,-5.24482361,653.9599166666667,52.866833333333375,8.795115897884376,179.875,1.6666666666666667,6.537307692307692,NULL,186025.0000,27.505508428842283
2001,1900.4233333333332,-18.771037354862287,46501.7500,13263.417,125.38174999999865,0.9543417079810324,2884730.0000,-15789.0000,-0.54435086,601.0930833333333,29.073333333333267,5.0825750917399715,177.06666666666663,3.8874999999999997,6.967884615384614,NULL,173100.0000,29.45744537347723
2000,2339.588333333333,3.249853446202433,46522.0000,13138.03525,514.67425,4.0771570265636825,2900519.0000,210324.0000,7.81816931,572.01975,36.372583333333296,6.790399650516199,172.19999999999996,6.235833333333333,8.053461538461539,119.63,167550.0000,30.10385567980825
1999,2265.9483333333333,19.691696177235052,45190.2500,12623.361,577.5370000000003,4.7944997370042985,2690195.0000,164699.0000,6.52145163,535.6471666666667,49.98316666666676,10.291717456238626,166.57500000000002,4.97,7.439999999999999,NULL,160125.0000,31.09789622086429
1998,1893.154166666667,22.323186691356177,43618.2500,12045.824,516.6669999999995,4.481394433261676,2525496.0000,168007.0000,7.12652318,485.664,31.821833333333245,7.011651995021739,163.00833333333335,5.353333333333333,6.94264150943396,NULL,151925.0000,33.56401407832027
1997,1547.6658333333335,26.81991316805492,42236.2500,11529.157000000001,490.89100000000144,4.447174945775001,2357489.0000,174160.0000,7.97680972,453.84216666666674,28.099083333333397,6.600009356190384,160.51666666666665,5.46,7.598846153846153,NULL,145000.0000,35.36838981833992
1996,1220.365,19.916280235207996,40924.2500,11038.266,401.2872499999994,3.77256793899301,2183329.0000,155002.0000,7.64186445,425.74308333333335,17.82475000000005,4.369685925695932,156.84999999999997,5.298333333333333,7.806153846153844,NULL,140250.0000,36.841467575221905
1995,1017.6808333333333,15.409811587505429,39900.0000,10636.97875,278.0555000000004,2.6842123769958537,2028327.0000,112834.0000,5.89059840,407.9183333333333,28.789666666666562,7.593640153826375,152.38333333333335,5.836666666666666,7.934615384615385,112.66,133475.0000,37.35633357984238
1994,881.7975000000001,-0.9813370963575929,39318.5000,10358.92325,401.1769999999997,4.0287931619064965,1915493.0000,135674.0000,7.62290997,379.12866666666673,35.565499999999986,10.351953716419926,148.22500000000002,4.201666666666667,8.380769230769234,NULL,130425.0000,39.096225907475564
1993,890.5366666666665,5.5941029416124,38256.7500,9957.74625,266.6775000000016,2.751786277442325,1779819.0000,101083.0000,6.02137561,343.56316666666675,30.897000000000048,9.88178552524339,144.45833333333331,3.0225000000000004,7.314615384615383,NULL,126500.0000,42.047095657809635
1992,843.3583333333332,6.129978103475753,37719.0000,9691.068749999999,329.7467499999984,3.5224378565335,1678736.0000,86525.0000,5.43426719,312.6661666666667,20.84741666666673,7.143960649090131,140.3166666666667,3.521666666666667,8.39018867924528,NULL,121375.0000,44.87747048636005
1991,794.6466666666666,9.92116508301355,36923.7500,9361.322,-10.14600000000064,-0.10826478839814913,1592211.0000,39798.0000,2.56362192,291.81874999999997,24.95116666666661,9.349643128255526,136.19166666666666,5.687500000000001,9.24653846153846,NULL,119975.0000,46.66995066857996
1990,722.9241666666667,-3.140233622216204,37459.5000,9371.468,173.47049999999945,1.8859594167099925,1552413.0000,104635.0000,7.22728208,266.86758333333336,19.491166666666743,7.879153125954841,130.65833333333333,8.099166666666667,10.129423076923077,106.28,122300.0000,48.95998671001317
1989,746.3616666666666,16.079422476249693,37180.5000,9197.997500000001,325.8432500000017,3.6726508671780733,1447778.0000,113624.0000,8.51655806,247.37641666666661,14.282749999999965,6.127472360896391,123.96666666666665,9.216666666666667,10.319423076923076,NULL,120425.0000,50.11256462401934
1988,642.975,-10.003989091816756,36203.0000,8872.15425,355.7360000000008,4.177061172400753,1334154.0000,86831.0000,6.96138851,233.09366666666665,18.47675000000001,8.609176893868664,118.25833333333333,7.5683333333333325,10.341730769230766,NULL,112225.0000,50.734254183940365
1987,714.4483333333333,15.52365347404503,35068.7500,8516.418249999999,284.75475000000006,3.4592613024086782,1247323.0000,119365.0000,10.58239757,214.61691666666664,15.82916666666668,7.962848146662305,113.625,6.6575,10.213396226415098,NULL,104700.0000,52.9431704474989
1986,618.4433333333334,24.113548715101363,34200.7500,8231.663499999999,275.49399999999787,3.462646189224583,1127958.0000,58044.0000,5.42510893,198.78774999999996,13.373166666666634,7.212575422195733,109.60833333333335,6.805000000000001,10.18730769230769,NULL,92025.0000,55.13837413690399
1985,498.2883333333334,13.818597125725706,33357.2500,7956.169500000001,318.46550000000116,4.169649674823761,1069914.0000,96442.0000,9.90701325,185.41458333333333,11.433999999999997,6.571997737295399,107.56666666666665,8.100833333333332,12.430192307692305,97.33,84275.0000,58.01413499028079
1984,437.79166666666674,-4.346337813011503,32308.5000,7637.704,515.4135000000006,7.236625633284688,973472.0000,100844.0000,11.55635620,173.98058333333333,13.321500000000015,8.291781406695042,103.88333333333333,10.225,13.877692307692307,NULL,79950.0000,59.709728144951036
1983,457.68416666666667,29.4834768709199,30392.5000,7122.290499999999,312.17049999999927,4.583920694495824,872628.0000,1423.0000,0.16333699,160.6590833333333,13.2113333333333,8.960010127881436,99.60000000000001,9.086666666666668,13.235384615384609,NULL,75375.0000,61.99462733977591
1982,353.4691666666667,-11.525986554614832,29326.7500,6810.12,-125.0332499999995,-1.8028909454884667,871205.0000,38275.0000,4.59522409,147.44775,9.977833333333365,7.258194065489509,96.5,12.258333333333333,16.04365384615385,NULL,69225.0000,65.44691255037802
1981,399.5175,-2.8322135408749505,30151.7500,6935.153249999999,171.63949999999932,2.5377267843951667,832930.0000,102258.0000,13.99506208,137.46991666666665,9.927249999999972,7.783473765641813,90.925,16.378333333333334,16.641509433962266,NULL,68950.0000,66.14174373908473
1980,411.16249999999997,1.7630303992806073,29701.0000,6763.51375,-17.409999999999854,-0.2567496795698343,730672.0000,68153.0000,10.28695026,127.54266666666668,10.90066666666668,9.34540445694234,82.40833333333332,13.355833333333335,13.742115384615385,87.74,64750.0000,64.61236501249253
1979,404.03916666666663,-2.6753650825513176,30123.0000,6780.92375,208.10475000000042,3.166141498799835,662519.0000,74258.0000,12.62330836,116.642,10.502999999999986,9.895514372662252,72.575,11.194166666666666,11.203653846153845,NULL,62750.0000,62.22029800586411
1978,415.1458333333333,-9.08634675572345,29522.0000,6572.8189999999995,344.7424999999994,5.535296491621433,588261.0000,62291.0000,11.84307090,106.13900000000001,9.668416666666701,10.022139736897383,65.23333333333333,7.930833333333333,9.641730769230769,NULL,55850.0000,61.46028635405772
1977,456.6375,-10.898261429491306,28271.2500,6228.0765,275.2674999999999,4.624161467300558,525970.0000,75953.0000,16.87780684,96.47058333333331,8.102499999999978,9.169034445883062,60.60833333333333,5.5375000000000005,8.845192307692304,NULL,48900.0000,62.825714574477374
1976,512.49,11.59888943328431,27295.5000,5952.809,304.3472499999998,5.388143949102608,450017.0000,34631.0000,8.33706480,88.36808333333333,7.606333333333325,9.418237387542149,56.90833333333334,5.045,8.865849056603775,NULL,44225.0000,64.39919390202157
1975,459.2250000000001,-2.5873818071899146,26151.7500,5648.46175,-11.628999999999905,-0.20545606976354325,415386.0000,25844.0000,6.63445790,80.76175,6.791666666666671,9.181639874679082,53.81666666666667,5.824166666666667,9.047115384615383,78.82,39275.0000,66.63633052362866
1974,471.42249999999996,-30.851287492268696,26462.5000,5660.09075,-30.761999999999716,-0.5405516774265484,389542.0000,40748.0000,11.68254041,73.97008333333333,6.364000000000004,9.413354074399138,49.30833333333334,10.502500000000001,9.187115384615385,NULL,36050.0000,66.65983207174973
1973,681.7516666666667,-8.449258900744727,26851.2500,5690.85275,304.11974999999984,5.64571791473607,348794.0000,35703.0000,11.40339390,67.60608333333333,5.430249999999994,8.733698784361543,44.400000000000006,8.727500000000001,8.044807692307689,NULL,32600.0000,65.67456330976134
1972,744.6708333333332,8.200343875623584,25659.0000,5386.733,269.130000000001,5.258907343926467,313091.0000,34353.0000,12.32447675,62.17583333333334,4.104000000000006,7.0671094133415435,41.81666666666667,4.434166666666666,7.383269230769234,NULL,27525.0000,67.25549851898514
1971,688.2333333333332,12.834693648915628,24640.0000,5117.602999999999,163.1672499999986,3.2933568671265734,278738.0000,2011.0000,0.72670899,58.07183333333333,3.8987499999999997,7.1968397589823985,40.49166666666667,4.6625000000000005,7.541750000000002,NULL,25225.0000,69.72686127238966
1970,609.9483333333332,-19.251980534989944,24157.5000,4954.435750000001,9.20049999999992,0.18604777194370925,276727.0000,15259.0000,5.83589579,54.17308333333333,3.2936666666666525,6.473475685157526,38.824999999999996,7.183333333333334,NULL,NULL,23475.0000,71.66843312407607
1969,755.3725000000001,-5.970033132848796,24392.5000,4945.235250000001,149.84825,3.124841644688958,261468.0000,42845.0000,19.59766356,50.87941666666668,3.150333333333343,6.600448014749927,36.68333333333334,8.204166666666666,NULL,NULL,25600.0000,72.09857293306231
